Index, Instance           , Category  , Distance              , Matched_Category, Matched_Index, Correct
    0, CakeStrawberry     , STRAWBERRY, 0.006477816532817205  , OrangePeel      ,            76, False
    1, DrivewayFoundation , Unique    , 0.0035177810644663847 , Gravel          ,            34, False
    2, FabricSwatch1A     , Fabric    , 0.002735624571099337  , Gravel          ,            17, False
    3, FabricSwatch1B     , Fabric    , 0.0038800860713077345 , Fabric          ,             9, True
    4, FabricSwatch1C     , Fabric    , 0.00935842572703635   , Gravel          ,            24, False
    5, FabricSwatch1D     , Fabric    , 0.0006612274772196722 , Velvet          ,            52, False
    6, FabricSwatch1E     , Fabric    , 0.008939989187929414  , Fabric          ,             8, True
    7, FabricSwatch1F     , Fabric    , 0.008375980308769949  , Grass           ,            40, False
    8, FabricSwatch1G     , Fabric    , 0.004731898640489277  , Velvet          ,            52, False
    9, FabricSwatch1H     , Fabric    , 0.0008232345227971978 , Velvet          ,            53, False
   10, FabricSwatch2      , Fabric    , 0.0019779944991737174 , Wood            ,            72, False
