--P,--R,--method,--metric,--blur,--ltp-threshold,--crop-seed,correct_matches,total,pct_correct,highest_correct,lowest_correct,highest_incorrect,lowest_incorrect,csv_file,results_json_file
8,1,ror,hellinger,0.0,5,35,41,75,54.666666666666664,0.09116382007033867,0.04123690597162663,0.0895195091779668,0.044291212674164256,exp_8_1_ror_hellinger_0.0_5_35.csv,exp_8_1_ror_hellinger_0.0_5_35_results.json
8,1,ror,hellinger,0.0,5,99,27,75,36.0,0.09598841858367635,0.05181000303115357,0.09866986130510741,0.04763617487246865,exp_8_1_ror_hellinger_0.0_5_99.csv,exp_8_1_ror_hellinger_0.0_5_99_results.json
8,1,ror,hellinger,0.0,5,123,37,75,49.333333333333336,0.10021108155181965,0.04378535372293128,0.09384290775482401,0.04383574386880132,exp_8_1_ror_hellinger_0.0_5_123.csv,exp_8_1_ror_hellinger_0.0_5_123_results.json
8,1,ror,hellinger,0.0,5,2024,32,75,42.666666666666664,0.11414974795206426,0.047357023740528394,0.15508192643457006,0.04299957792539649,exp_8_1_ror_hellinger_0.0_5_2024.csv,exp_8_1_ror_hellinger_0.0_5_2024_results.json
8,1,ror,hellinger,0.0,5,777,35,75,46.666666666666664,0.08524406889997858,0.03974723164856966,0.08955317842995131,0.04461503352806843,exp_8_1_ror_hellinger_0.0_5_777.csv,exp_8_1_ror_hellinger_0.0_5_777_results.json
8,1,ror,hellinger,0.0,5,888,38,75,50.666666666666664,0.09499102516856495,0.04598866477202742,0.11601675218517864,0.04705791485977505,exp_8_1_ror_hellinger_0.0_5_888.csv,exp_8_1_ror_hellinger_0.0_5_888_results.json
8,1,ror,hellinger,0.0,5,999,37,75,49.333333333333336,0.07792017640673432,0.03242911922058739,0.07950388495109442,0.043742854385057074,exp_8_1_ror_hellinger_0.0_5_999.csv,exp_8_1_ror_hellinger_0.0_5_999_results.json
8,1,ror,hellinger,0.0,5,1111,33,75,44.0,0.089638225905703,0.04427535994648715,0.0876924788421607,0.044082087922672625,exp_8_1_ror_hellinger_0.0_5_1111.csv,exp_8_1_ror_hellinger_0.0_5_1111_results.json
8,1,ror,hellinger,0.0,6,1,37,75,49.333333333333336,0.13537065673567672,0.0443571453256158,0.09641038990548065,0.04537388243598267,exp_8_1_ror_hellinger_0.0_6_1.csv,exp_8_1_ror_hellinger_0.0_6_1_results.json
8,1,ror,hellinger,0.0,6,42,43,75,57.333333333333336,0.10035089239319782,0.046875455904530426,0.2249188417657066,0.04604981118507315,exp_8_1_ror_hellinger_0.0_6_42.csv,exp_8_1_ror_hellinger_0.0_6_42_results.json
8,1,ror,hellinger,0.0,6,35,36,75,48.0,0.09977091935305624,0.054182982508871075,0.0834419453467752,0.040364208646274706,exp_8_1_ror_hellinger_0.0_6_35.csv,exp_8_1_ror_hellinger_0.0_6_35_results.json
